Country Name,FDI_net_inflow_percentGDP,GDP_per_capita,ln(GDP_per_capita),Inflation_GDP_deflator_annual_percent,Trade_percent_GDP,Unemployment_percent_of_total_labor_force,manufacturing_value_added,savings_percent_gdp
Latvia,9.33689137,21148.16294,9.959308322,6.881441804,130.366019,7.510000229,11.96764224,21.57889978
"Macao SAR, China",16.10826654,43873.59116,10.68906785,-0.58988903,163.9015247,2.253000021,0.8513126304,32.14415343
Morocco,1.50549107,3795.380127,8.24153985,3.244246271,74.95168025,10.54199982,15.3309494,28.81798594
Monaco,,234315.4605,12.36442361,1.333036901,,,,
Moldova,2.860616043,5230.661733,8.562293075,3.328590482,88.6124715,3.230000019,9.378243701,16.8583799
Madagascar,2.470437815,500.511032,6.21562964,7.397071516,50.41573705,2.309999943,,8.721456984
Maldives,8.203994537,10366.29336,9.246314799,1.738646164,143.0847531,5.256999969,1.937401728,30.18140995
Mexico,2.620110584,10045.6805,9.21489802,5.164095655,83.61527162,4.090000153,18.07515737,23.54179724
Marshall Islands,2.073967081,6172.145065,8.727801717,6.186797098,116.2039801,,2.100418936,
North Macedonia,5.036188199,6694.641126,8.809062653,3.535646066,148.468967,15.77999973,12.65980976,29.15034243
Mali,3.343410303,873.7948624,6.772845637,2.454351558,69.80359517,2.602999926,6.721309623,
Malta,25.1529476,33486.67198,10.41890279,1.810518127,287.6734349,3.529999971,7.167621396,29.15296449
Myanmar,3.174912996,1209.926942,7.098315258,4.802555004,53.10430966,,,
Montenegro,11.83601895,9465.703999,9.15543044,5.293594728,105.0299932,16.87000084,3.852906774,17.45829814
Mongolia,14.21773187,4566.140154,8.426423522,14.42006548,119.0980784,7.75,7.109182102,20.29233435
Mozambique,33.56453774,491.8391128,6.198151657,3.536349374,100.2172083,3.938999891,7.806713651,14.89516967
Mauritania,10.70654077,2166.046799,7.680659034,12.57197793,100.3930214,11.2869997,5.284949486,38.36806298
Mauritius,2.196099537,9106.237202,9.116714865,3.323174543,97.7882955,7.656000137,11.6531092,8.488597226
Malawi,0.367577809,634.8356601,6.453366162,8.458771962,,5.657999992,,
Malaysia,4.985683442,11109.26184,9.315534439,5.713674976,130.5697916,4.046000004,23.46820054,26.06812543
North America,2.027208348,68369.66279,11.13268448,4.492792236,28.56023711,5.586510555,10.58674594,18.51973854
Namibia,5.272833453,4865.557765,8.489936637,1.733295051,79.72770166,21.26799965,11.26296556,7.137352812
New Caledonia,-4.903017255,37159.54677,10.522976,,,12.43599987,,
Niger,3.98812655,590.6294548,6.381188841,3.118640663,37.51110457,0.667999983,7.639453478,
Nigeria,0.751578401,2065.749068,7.633248184,10.13103369,22.57653861,5.93599987,14.61070297,33.87141121
Nicaragua,8.706901281,2045.535402,7.623414844,3.328088635,106.2322969,5.93200016,13.96950809,20.25684834
Netherlands,-13.99437059,57767.87881,10.96418817,2.524821467,155.7000827,4.210000038,10.82762309,28.63109884
Norway,2.941962647,89154.27609,11.39812359,16.91134998,70.88755788,4.369999886,5.49453123,40.30954637
Nepal,0.541009512,1208.218534,7.096902268,5.511971478,43.81122818,12.22299957,4.66559835,32.67631566
Nauru,,10648.14139,9.273140639,2.843315185,147.3389356,,,
New Zealand,1.816796303,48781.02663,10.79509672,4.327652512,49.10124637,3.779999971,,18.47188189
Oman,4.557677434,19509.46646,9.878655086,12.69571522,93.91614616,2.512000084,9.12402522,17.54663021
Pakistan,0.603567634,1505.010193,7.31655495,10.21467665,27.05014373,6.340000153,11.91208648,13.92335317
Panama,2.122671105,14617.60448,9.589981868,2.168916068,92.69809339,10.30099964,5.409314662,28.61963241
Peru,3.339365833,6621.574336,8.798088436,8.422193115,55.50360019,5.099999905,13.14700199,20.65211457
Philippines,3.149722744,3460.530963,8.149177314,2.293436284,63.50157095,2.631999969,17.63680409,20.21713549
Palau,14.94444444,12083.88815,9.399628286,-0.235136043,,,1.101928375,
Papua New Guinea,-0.040281148,2672.94579,7.890936435,12.74919107,,2.825000048,,
Poland,5.462253623,17999.90995,9.798122034,5.052506002,112.4455972,3.359999895,16.72083441,19.47704297
Puerto Rico,,32640.71034,10.39331557,3.188583358,96.67160131,7.900000095,48.12829205,
Portugal,3.095036374,24567.50927,10.10918009,1.398791778,86.1710841,6.579999924,12.42699714,19.15068659
Paraguay,0.524352949,5891.499965,8.681265907,7.123506029,70.80108137,7.309999943,19.65842557,23.26229023
Qatar,-0.608539382,66838.35743,11.11003241,22.47217633,93.04582434,0.170000002,8.764580678,51.43035067
Romania,4.131901185,14858.22943,9.606309161,5.416597808,87.35839435,5.590000153,15.56243458,19.00390475
Russian Federation,2.274026596,12194.77734,9.408763052,16.46716058,52.1670081,4.71999979,14.44573732,29.47572003
Rwanda,1.914085861,822.3479886,6.712163649,2.742318867,53.85224757,13.31499958,9.183092147,15.35021158
South Asia,1.218406311,2149.821595,7.673140139,5.107622533,42.30487823,7.296216641,14.5029051,29.06414591
Saudi Arabia,2.313699999,23185.87079,10.05129835,14.78699188,59.11648471,6.691999912,13.05517468,
Sudan,1.523243969,751.8213501,6.622498729,235.5154426,4.127459,19.04999924,,6.711570097
Senegal,8.079177813,1636.893209,7.400555339,2.449290575,63.26358485,3.497999907,14.76146367,
Singapore,26.57284209,72794.00302,11.19538885,4.032514223,338.3097538,3.539999962,21.07415386,44.23622021
Solomon Islands,1.711265873,2304.844567,7.74276852,4.046735385,63.34211969,0.987999976,,
Sierra Leone,5.251773891,480.0392113,6.173867791,6.691503675,58.39083202,3.697000027,2.169006891,
El Salvador,2.890014089,4551.184661,8.423142843,6.088425321,84.36841222,4.349999905,15.17778163,17.12387297
Somalia,5.971421071,446.9815596,6.10251734,7.660474052,105.8730991,19.93099976,,
Serbia,7.240894623,9230.178316,9.130233646,5.913614785,116.7625097,10.06000042,13.00225679,21.22672149
Sao Tome and Principe,11.20283074,2360.543554,7.766647191,5.342237712,,15.34000015,5.508827009,
Suriname,-4.446186883,4869.134226,8.490671423,56.11973655,,9.078000069,22.61111906,
Slovak Republic,0.833199772,21391.92533,9.970768809,2.383313617,187.8274785,6.829999924,19.73736463,19.04215028
Slovenia,3.479250297,29291.40062,10.28504926,2.60708736,160.9202221,4.739999771,20.02696978,25.88455821
Sweden,8.28771595,61028.73806,11.01910015,2.97615309,86.6855668,8.720000267,12.6777826,31.21222844
Eswatini,2.379449999,3978.403528,8.288635894,-0.899357001,90.96836582,24.55999947,26.66233786,18.36210864
Seychelles,7.662997314,14653.30939,9.592421486,2.693594301,152.7392218,,5.201103998,6.986441468
Turks and Caicos Islands,3.041577044,20908.5827,9.947915009,-0.077269292,,,0.656821622,
Chad,4.772212579,685.6902841,6.530426045,7.199988308,82.98477687,1.537999988,,
Togo,1.543827631,973.2061291,6.880595909,1.659734477,57.5419398,4.175000191,13.71337971,
Thailand,2.893756067,7066.190546,8.863076794,1.902052266,116.6571964,0.991999984,27.00880706,27.79619997
Tajikistan,0.960845885,897.0475103,6.799108826,7.883802015,,7.743999958,,
Turkmenistan,,,#NUM!,,,4.787000179,,
Timor-Leste,1.901053504,2741.393931,7.916221804,59.34252377,100.1664551,4.974999905,0.7540718901,-5.623899121
Tonga,0.055087451,4426.000637,8.395251665,-1.946211793,73.36746933,2.66899991,5.188789572,4.564189596
Trinidad and Tobago,-4.475610431,16032.50277,9.682373364,17.48308667,,4.449999809,19.48048387,
Tunisia,1.1418428,3807.13915,8.244633307,4.536052976,94.35217271,16.26399994,14.4173084,7.946205738
Turkiye,1.614582655,9661.235975,9.175876867,28.95058611,70.8349232,11.97999954,22.20755381,30.30965461
Tuvalu,0.316050651,5632.002993,8.636220429,1.956521739,,,,
Tanzania,1.358803511,1099.287598,7.002417611,4.406504371,31.38327631,2.74000001,8.295659686,
Uganda,2.715184651,883.8920323,6.78433492,2.545119296,41.71363074,4.295000076,16.43374919,8.785126934
Ukraine,3.975299809,4835.571777,8.483754659,25.05968046,82.62129976,9.829999924,10.30247049,12.47807643
Uruguay,6.153039795,17313.18835,9.759223822,10.0070997,56.80592445,9.289999962,10.6505888,16.377136
United States,1.922892777,70248.629,11.15979607,4.492792236,25.48140027,5.349999905,10.71037081,18.09990315
Uzbekistan,3.006371824,1983.064723,7.592398767,13.55920538,63.88253596,6.017000198,19.97502331,33.64479309
Vietnam,4.277080639,3756.489121,8.231240056,2.778272945,186.4681832,2.380000114,24.61742908,32.65274964
Vanuatu,4.320906669,2996.621062,8.00524062,0.698530126,53.19805489,2.118000031,,48.36732661
World,2.220047547,12236.61574,9.412188026,4.327652512,56.5286218,6.201811583,16.62456665,26.97215387
Samoa,1.050804219,3857.318464,8.257727523,-0.403699529,60.89415377,9.909999847,4.874714056,28.30391369
Kosovo,5.322206947,5269.783901,8.569744635,6.115582547,98.63843049,,12.89153197,27.22044837
Zambia,-3.716345994,1137.343633,7.036450676,27.5858339,85.99217656,6.21999979,9.423860926,42.89036136
Zimbabwe,0.585099586,1773.920411,7.480947298,113.2949806,56.31268006,8.067000389,12.44293387,
